test_name task_name gold_standard_file coverage model model_configuration metric score_value
models\model_complete\vectors_100_cosine_2_1 Clustering cities2000AndCountries_cluster 0.9445211786372008 "Ward hierarchical clustering" "metric=cosine, n_clusters=2" v_measure_score 0.248890622854857
models\model_complete\vectors_100_cosine_2_1 Clustering cities2000AndCountries_cluster 0.9445211786372008 "Ward hierarchical clustering" "metric=cosine, n_clusters=2" normalized_mutual_info_score 0.248890622854857
models\model_complete\vectors_100_cosine_2_1 Clustering cities2000AndCountries_cluster 0.9445211786372008 "Ward hierarchical clustering" "metric=cosine, n_clusters=2" clustering_accuracy 0.7127071823204421
models\model_complete\vectors_100_cosine_2_1 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.7160610350794399 DBSCAN metric=cosine adjusted_rand_index 0.20677044516593696
models\model_complete\vectors_100_cosine_2_1 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.7160610350794399 DBSCAN metric=cosine adjusted_mutual_info_score 0.247746205749374
models\model_complete\vectors_100_cosine_2_1 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.7160610350794399 DBSCAN metric=cosine homogeneity_score 0.241496318114316
models\model_complete\vectors_100_cosine_2_1 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.7160610350794399 DBSCAN metric=cosine completeness_score 0.346349846558719
models\model_complete\vectors_100_cosine_2_1 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.7160610350794399 DBSCAN metric=cosine v_measure_score 0.284571773194817
models\model_complete\vectors_100_cosine_2_1 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.7160610350794399 DBSCAN metric=cosine normalized_mutual_info_score 0.284571773194817
models\model_complete\vectors_100_cosine_2_1 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.7160610350794399 DBSCAN metric=cosine clustering_accuracy 0.5008651879817521
models\model_complete\vectors_100_cosine_2_1 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.7160610350794399 KMeans "metric=enclidean, n_clusters=5" adjusted_rand_index 0.612363319230796
models\model_complete\vectors_100_cosine_2_1 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.7160610350794399 KMeans "metric=enclidean, n_clusters=5" adjusted_mutual_info_score 0.644509467466975
models\model_complete\vectors_100_cosine_2_1 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.7160610350794399 KMeans "metric=enclidean, n_clusters=5" homogeneity_score 0.6842653722922329
models\model_complete\vectors_100_cosine_2_1 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.7160610350794399 KMeans "metric=enclidean, n_clusters=5" completeness_score 0.609768935318119
models\model_complete\vectors_100_cosine_2_1 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.7160610350794399 KMeans "metric=enclidean, n_clusters=5" v_measure_score 0.644872806051334
models\model_complete\vectors_100_cosine_2_1 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.7160610350794399 KMeans "metric=enclidean, n_clusters=5" normalized_mutual_info_score 0.644872806051334
models\model_complete\vectors_100_cosine_2_1 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.7160610350794399 KMeans "metric=enclidean, n_clusters=5" clustering_accuracy 0.771590372817367
models\model_complete\vectors_100_cosine_2_1 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.7160610350794399 "Agglomerative clustering" "metric=cosine, n_clusters=5" adjusted_rand_index 0.624875770939903
models\model_complete\vectors_100_cosine_2_1 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.7160610350794399 "Agglomerative clustering" "metric=cosine, n_clusters=5" adjusted_mutual_info_score 0.6212081111471379
models\model_complete\vectors_100_cosine_2_1 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.7160610350794399 "Agglomerative clustering" "metric=cosine, n_clusters=5" homogeneity_score 0.6419206489498289
models\model_complete\vectors_100_cosine_2_1 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.7160610350794399 "Agglomerative clustering" "metric=cosine, n_clusters=5" completeness_score 0.6025472692703969
models\model_complete\vectors_100_cosine_2_1 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.7160610350794399 "Agglomerative clustering" "metric=cosine, n_clusters=5" v_measure_score 0.621611097321278
models\model_complete\vectors_100_cosine_2_1 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.7160610350794399 "Agglomerative clustering" "metric=cosine, n_clusters=5" normalized_mutual_info_score 0.621611097321278
models\model_complete\vectors_100_cosine_2_1 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.7160610350794399 "Agglomerative clustering" "metric=cosine, n_clusters=5" clustering_accuracy 0.7827591631272609
models\model_complete\vectors_100_cosine_2_1 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.7160610350794399 "Ward hierarchical clustering" "metric=cosine, n_clusters=5" adjusted_rand_index 0.6184146867113121
models\model_complete\vectors_100_cosine_2_1 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.7160610350794399 "Ward hierarchical clustering" "metric=cosine, n_clusters=5" adjusted_mutual_info_score 0.613944184103729
models\model_complete\vectors_100_cosine_2_1 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.7160610350794399 "Ward hierarchical clustering" "metric=cosine, n_clusters=5" homogeneity_score 0.653763080668962
models\model_complete\vectors_100_cosine_2_1 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.7160610350794399 "Ward hierarchical clustering" "metric=cosine, n_clusters=5" completeness_score 0.579396179986295
models\model_complete\vectors_100_cosine_2_1 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.7160610350794399 "Ward hierarchical clustering" "metric=cosine, n_clusters=5" v_measure_score 0.6143372452223149
models\model_complete\vectors_100_cosine_2_1 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.7160610350794399 "Ward hierarchical clustering" "metric=cosine, n_clusters=5" normalized_mutual_info_score 0.6143372452223149
models\model_complete\vectors_100_cosine_2_1 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.7160610350794399 "Ward hierarchical clustering" "metric=cosine, n_clusters=5" clustering_accuracy 0.7649834827748941
models\model_complete\vectors_100_cosine_2_1 Clustering teams_cluster 0.5209224916785544 DBSCAN metric=cosine adjusted_rand_index 0.002343366190792
models\model_complete\vectors_100_cosine_2_1 Clustering teams_cluster 0.5209224916785544 DBSCAN metric=cosine adjusted_mutual_info_score 0.007323525329649
models\model_complete\vectors_100_cosine_2_1 Clustering teams_cluster 0.5209224916785544 DBSCAN metric=cosine homogeneity_score 0.12438609946811098
models\model_complete\vectors_100_cosine_2_1 Clustering teams_cluster 0.5209224916785544 DBSCAN metric=cosine completeness_score 0.004602336741760999
models\model_complete\vectors_100_cosine_2_1 Clustering teams_cluster 0.5209224916785544 DBSCAN metric=cosine v_measure_score 0.008876248640071999
models\model_complete\vectors_100_cosine_2_1 Clustering teams_cluster 0.5209224916785544 DBSCAN metric=cosine normalized_mutual_info_score 0.008876248640071999
models\model_complete\vectors_100_cosine_2_1 Clustering teams_cluster 0.5209224916785544 DBSCAN metric=cosine clustering_accuracy 0.502615311459819
models\model_complete\vectors_100_cosine_2_1 Clustering teams_cluster 0.5209224916785544 KMeans "metric=enclidean, n_clusters=2" adjusted_rand_index 0.00076109165612
