test_name task_name gold_standard_file coverage model model_configuration metric score_value
models\model_complete\vectors_100_cosine_2_1 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.71606103507944 KMeans "metric=enclidean, n_clusters=5" homogeneity_score 0.684265372292233
models\model_complete\vectors_100_cosine_2_1 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.71606103507944 KMeans "metric=enclidean, n_clusters=5" completeness_score 0.609768935318119
models\model_complete\vectors_100_cosine_2_1 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.71606103507944 KMeans "metric=enclidean, n_clusters=5" v_measure_score 0.644872806051334
models\model_complete\vectors_100_cosine_2_1 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.71606103507944 KMeans "metric=enclidean, n_clusters=5" normalized_mutual_info_score 0.644872806051334
models\model_complete\vectors_100_cosine_2_1 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.71606103507944 KMeans "metric=enclidean, n_clusters=5" clustering_accuracy 0.771590372817367
models\model_complete\vectors_100_cosine_2_1 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.71606103507944 "Agglomerative clustering" "metric=cosine, n_clusters=5" adjusted_rand_index 0.624875770939903
models\model_complete\vectors_100_cosine_2_1 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.71606103507944 "Agglomerative clustering" "metric=cosine, n_clusters=5" adjusted_mutual_info_score 0.621208111147138
models\model_complete\vectors_100_cosine_2_1 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.71606103507944 "Agglomerative clustering" "metric=cosine, n_clusters=5" homogeneity_score 0.641920648949829
models\model_complete\vectors_100_cosine_2_1 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.71606103507944 "Agglomerative clustering" "metric=cosine, n_clusters=5" completeness_score 0.602547269270397
models\model_complete\vectors_100_cosine_2_1 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.71606103507944 "Agglomerative clustering" "metric=cosine, n_clusters=5" v_measure_score 0.621611097321278
